Variable	term	df	sumsq	meansq	statistic	p.value	adjusted.p
NH4ppm	Residuals	8	6.27750510204082	0.784688137755102	NA	NA	NA
NO3ppm	Month	1	839.700026785715	839.700026785715	49.1195413550583	0.000111683664734159	0.00123197904944178
NO3ppm	Biochar	3	33.3612050324676	11.1204016774892	0.650504957315767	0.60452522487382	1
NO3ppm	Column	1	19.5639281818182	19.5639281818182	1.14442199445046	0.315931749314915	1
NO3ppm	Row	1	5.18880102040821	5.18880102040821	0.303526876473652	0.596725436813674	1
NO3ppm	Residuals	8	136.760238979592	17.095029872449	NA	NA	NA
MoisturePCT	Month	1	0.0132956493704805	0.0132956493704805	270.665923883234	1.87902078458813e-07	2.44272701996456e-06
MoisturePCT	Biochar	3	9.70331550487308e-05	3.23443850162436e-05	0.658450189901495	0.600180051678883	1
MoisturePCT	Column	1	0.000184238390631503	0.000184238390631503	3.75062945972029	0.0888038683061079	1
MoisturePCT	Row	1	6.93759290036446e-05	6.93759290036446e-05	1.41231912754258	0.268751414373217	1
MoisturePCT	Residuals	8	0.000392975936674358	4.91219920842947e-05	NA	NA	NA
