contig_id,proteins
Bacillus phage AR9,291
Bacillus phage Aurora,40
Bacillus phage AvesoBmore,301
Bacillus phage B4,277
Bacillus phage BCD7,140
Bacillus phage BCJA1c,58
Bacillus phage BCP78,227
Bacillus phage BCP8-2,220
Bacillus phage BM5,224
Bacillus phage BPS10C,271
Bacillus phage BPS13,268
Bacillus phage BalMu-1,56
Bacillus phage Bam35c,32
Bacillus phage Bastille,273
Bacillus phage Bcp1,229
Bacillus phage Belinda,295
Bacillus phage BigBertha,291
Bacillus phage Bobb,247
Bacillus phage Bp8p-C,211
Bacillus phage BtCS33,57
Bacillus phage CAM003,287
Bacillus phage CP-51,221
Bacillus phage CampHawk,233
Bacillus phage Claudi,46
Bacillus phage DIGNKC,291
Bacillus phage Deep Blue,226
Bacillus phage DirtyBetty,302
Bacillus phage Eldridge,238
Bacillus phage Evoli,294
Bacillus phage Eyuki,300
Bacillus phage Fah,50
Bacillus phage GIL16c,31
Bacillus phage Gamma,53
Bacillus phage Grass,252
Bacillus phage Hakuna,294
Bacillus phage Hoody T,270
Bacillus phage JBP901,201
Bacillus phage JL,218
Bacillus phage Kida,304
Bacillus phage MG-B1,42
Bacillus phage Mater,241
Bacillus phage Megatron,290
Bacillus phage Moonbeam,237
Bacillus phage Nemo,301
Bacillus phage Nigalana,302
Bacillus phage NotTheCreek,296
Bacillus phage PBC1,50
Bacillus phage PM1,86
Bacillus phage Page,50
Bacillus phage Palmer,50
Bacillus phage Pascal,50
Bacillus phage Pavlov,50
Bacillus phage PfEFR-5,68
Bacillus phage Phrodo,288
Bacillus phage Pony,48
Bacillus phage Pookie,52
Bacillus phage Riley,290
Bacillus phage SP-10,236
Bacillus phage SP-15,317
Bacillus phage SPBc2,185
Bacillus phage SPG24,34
Bacillus phage SPP1,97
Bacillus phage SageFayge,300
Bacillus phage SalinJah,292
Bacillus phage Shanette,220
Bacillus phage Shbh1,177
Bacillus phage Slash,111
Bacillus phage Spock,283
Bacillus phage Stahl,110
Bacillus phage Staley,113
Bacillus phage Stills,110
Bacillus phage Stitch,36
Bacillus phage TP21-L,56
Bacillus phage Troll,289
Bacillus phage TsarBomba,247
Bacillus phage VMY22,25
Bacillus phage W.Ph.,274
Bacillus phage Waukesha92,72
Bacillus phage Wip1,27
Bacillus phage Zuko,294
Bacillus phage phBC6A51,75
Bacillus phage phBC6A52,49
Bacillus phage phIS3501,51
Bacillus phage phi105,51
Bacillus phage phi4B1,56
Bacillus phage phi4J1,67
Bacillus phage phiAGATE,210
Bacillus phage phiCM3,56
Bacillus phage phiNIT1,219
Bacillus phage vB_BanS-Tsamsa,272
Bacillus phage vB_BceM_Bc431v3,238
Bacillus phage vB_BhaS-171,67
Bacillus phage vB_BtS_BMBtp3,76
Bacillus virus 1,54
Bacillus virus 250,54
Bacillus virus AP50,31
Bacillus virus Andromeda,79
Bacillus virus B103,17
Bacillus virus BMBtp2,53
Bacillus virus Blastoid,79
Bacillus virus Curly,77
Bacillus virus Eoghan,75
Bacillus virus Finn,77
Bacillus virus G,675
Bacillus virus GA1,35
Bacillus virus Glittering,78
Bacillus virus IEBH,86
Bacillus virus Riggi,79
Bacillus virus SPO1,206
Bacillus virus Wbeta,53
Bacillus virus phi29,27
Bacteriophage APSE-2,41
Bacteriophage Lily,74
Bacteroides phage B124-14,68
Bacteroides phage B40-8,46
Bdellovibrio phage phi1402,42
Bdellovibrio phage phi1422,76
Bdellovibrio phage phiMH2K,11
Bordetella virus BPP1,49
Brevibacillus phage Abouo,94
Brevibacillus phage Davies,94
Brevibacillus phage Jenst,178
Brevibacillus phage Jimmer1,103
Brevibacillus phage Osiris,103
Brevibacillus phage Sundance,194
Brochothrix phage A9,199
Brochothrix phage BL3,67
Brochothrix phage NF5,58
Brucella phage BiPBO1,86
Brucella phage Pr,57
Brucella phage Tb,58
Burkholderia phage AH2,78
Burkholderia phage Bcep176,81
Burkholderia phage BcepB1A,73
Burkholderia phage BcepGomr,75
Burkholderia phage BcepNazgul,73
Burkholderia phage JG068,49
Burkholderia phage KL1,55
Burkholderia phage KL3,52
Burkholderia phage KS10,49
Burkholderia phage KS14,44
Burkholderia phage KS5,46
Burkholderia phage KS9,50
Burkholderia phage ST79,49
Burkholderia virus Bcep1,71
Burkholderia virus Bcep22,77
Burkholderia virus Bcep43,65
Burkholderia virus Bcep781,66
Burkholderia virus BcepC6B,46
Burkholderia virus BcepF1,127
Burkholderia virus BcepMu,53
Burkholderia virus BcepNY3,70
Burkholderia virus Bcepil02,76
Burkholderia virus Bcepmigl,75
Burkholderia virus DC1,73
Burkholderia virus phi1026b,83
Burkholderia virus phi52237,47
Burkholderia virus phi6442,71
Burkholderia virus phiE122,50
Burkholderia virus phiE125,71
Burkholderia virus phiE202,48
Burkholderia virus phiE255,55
Campylobacter phage CP30A,162
Campylobacter phage PC14,171
Campylobacter virus CP21,257
Campylobacter virus CP220,194
Campylobacter virus CPX,149
Campylobacter virus CPt10,196
Campylobacter virus NCTC12673,166
Caulobacter phage CcrColossus,452
Caulobacter phage Cr30,286
Caulobacter phage Percy,55
Caulobacter phage phiCb5,4
Caulobacter virus Karma,357
Caulobacter virus Magneto,351
Caulobacter virus Rogue,354
Caulobacter virus Swift,347
Caulobacter virus phiCbK,342
Celeribacter phage P12053L,56
Cellulophaga phage phi10:1,106
Cellulophaga phage phi12:1,64
Cellulophaga phage phi12:2,13
Cellulophaga phage phi12a:1,13
Cellulophaga phage phi13:2,127
Cellulophaga phage phi14:2,133
Cellulophaga phage phi17:1,65
Cellulophaga phage phi17:2,198
Cellulophaga phage phi18:1,65
Cellulophaga phage phi18:3,123
Cellulophaga phage phi19:1,114
Cellulophaga phage phi19:3,129
Cellulophaga phage phi38:1,101
Cellulophaga phage phi39:1,48
Cellulophaga phage phi46:1,54
Cellulophaga phage phi46:3,121
Cellulophaga phage phi48:2,29
Cellulophaga phage phi4:1,197
Cellulophaga phage phiSM,59
Cellulophaga phage phiST,104
Chimpanzee faeces associated microphage 1,4
Chimpanzee faeces associated microphage 2,5
Chimpanzee faeces associated microphage 3,4
Chlamydia phage 2,8
Chlamydia phage 4,8
Chlamydia virus CPAR39,6
Chlamydia virus Chp1,12
Citrobacter phage CR44b,57
Citrobacter phage CR8,57
Citrobacter phage CVT22,83
Citrobacter phage IME-CF2,263
Citrobacter phage Margaery,280
Citrobacter phage Merlin,303
Citrobacter phage Michonne,143
Citrobacter phage Miller,277
Citrobacter phage Moogle,126
Citrobacter phage Moon,298
Citrobacter phage SH1,53
Citrobacter phage SH2,53
Citrobacter phage SH3,49
Citrobacter phage SH4,49
Citrobacter phage phiCFP-1,43
Citrobacter phage vB_CfrM_CfP1,273
Citrobacter virus Stevie,90
Clavibacter phage CMP1,74
Clavibacter phage CN1A,78
Clostridium phage CDMH1,84
Clostridium phage PhiS63,43
Clostridium phage c-st,198
Clostridium phage phi24R,22
Clostridium phage phi3626,51
Clostridium phage phi8074-B1,82
Clostridium phage phiCD111,55
Clostridium phage phiCD146,52
Clostridium phage phiCD211,190
Clostridium phage phiCD38-2,55
Clostridium phage phiCD481-1,54
Clostridium phage phiCD505,76
Clostridium phage phiCD506,53
Clostridium phage phiCD6356,59
Clostridium phage phiCDHM11,49
Clostridium phage phiCDHM13,50
Clostridium phage phiCDHM19,88
Clostridium phage phiCP13O,55
Clostridium phage phiCP26F,49
Clostridium phage phiCP34O,52
Clostridium phage phiCP39-O,62
Clostridium phage phiCP7R,26
Clostridium phage phiCPV4,28
Clostridium phage phiCT19406A,67
Clostridium phage phiCT19406B,66
Clostridium phage phiCT19406C,63
Clostridium phage phiCT453A,62
Clostridium phage phiCT453B,61
Clostridium phage phiCT9441A,77
Clostridium phage phiCTC2A,67
Clostridium phage phiCTC2B,66
Clostridium phage phiCTP1,86
Clostridium phage phiMMP01,81
Clostridium phage phiMMP02,76
Clostridium phage phiMMP03,93
Clostridium phage phiMMP04,51
Clostridium phage phiSM101,53
Clostridium phage phiZP2,27
Clostridium phage vB_CpeS-CP51,50
Clostridium virus phiC2,82
Clostridium virus phiCD119,79
Clostridium virus phiCD27,75
Colwellia phage 9A,149
Corynebacterium phage BFK20,54
Corynebacterium phage P1201,97
Croceibacter phage P2559S,68
Croceibacter phage P2559Y,51
Cronobacter phage CR3,265
Cronobacter phage CR5,231
Cronobacter phage CR8,269
Cronobacter phage CR9,281
Cronobacter phage Dev-CD-23823,48
Cronobacter phage Dev2,45
Cronobacter phage ENT39118,38
Cronobacter phage ENT47670,46
Cronobacter phage PBES 02,270
Cronobacter phage S13,268
Cronobacter phage phiES15,52
Cronobacter phage vB_CsaM_GAP161,275
Cronobacter phage vB_CsaM_GAP31,269
Cronobacter phage vB_CsaM_GAP32,545
Cronobacter phage vB_CsaP_GAP52,115
Cronobacter phage vB_CskP_GAP227,49
Cronobacter virus ESP29491,45
Cyanophage 9515-10a,55
Cyanophage KBS-P-1A,57
Cyanophage KBS-S-2A,64
Cyanophage MED4-117,63
Cyanophage NATL1A-7,65
Cyanophage NATL2A-133,62
Cyanophage P-RSM1,212
Cyanophage P-RSM6,221
Cyanophage P-SSP2,56
Cyanophage P-TIM40,235
Cyanophage PP,41
Cyanophage PSS2,131
Cyanophage S-RIM32,230
Cyanophage S-RIM50,227
Cyanophage S-TIM5,180
Cyanophage SS120-1,52
Cyanophage Syn30,209
Deep-sea thermophilic phage D6E,49
Deftia phage phiW-14,236
Delftia phage IME-DE1,48
Delftia phage RG-2014,88
Dickeya phage RC-2014,196
Dickeya virus Limestone,201
Dinoroseobacter phage DFL12phi1,86
Edwardsiella phage GF-2,82
Edwardsiella phage KF-1,48
Edwardsiella phage MSW-3,66
Edwardsiella phage PEi20,301
Edwardsiella phage PEi21,71
Edwardsiella phage eiAU-183,54
Eel River basin pequenovirus,9
Enterobacter phage Arya,64
Enterobacter phage CC31,279
Enterobacter phage E-2,41
Enterobacter phage E-3,36
Enterobacter phage EcP1,77
Enterobacter phage Enc34,80
Enterobacter phage PG7,294
Enterobacter phage Tyrion,52
Enterobacter phage phiEap-1,42
Enterobacter phage phiEap-2,62
Enterobacteria phage 13a,55
Enterobacteria phage 285P,47
Enterobacteria phage 933W,80
Enterobacteria phage 9g,71
Enterobacteria phage BA14,52
Enterobacteria phage BP-4795,85
Enterobacteria phage Bp7,263
Enterobacteria phage C-1 INW-2012,4
Enterobacteria phage ES18,79
Enterobacteria phage EcoDS1,53
Enterobacteria phage FI sensu lato,4
Enterobacteria phage G4 sensu lato,11
Enterobacteria phage GEC-3S,277
Enterobacteria phage HK106,65
Enterobacteria phage HK140,71
Enterobacteria phage HK225,69
Enterobacteria phage HK446,60
Enterobacteria phage HK542,57
Enterobacteria phage HK544,63
Enterobacteria phage HK629,69
Enterobacteria phage HK630,69
Enterobacteria phage HK633,67
Enterobacteria phage Hgal1,4
Enterobacteria phage ID18 sensu lato,11
Enterobacteria phage ID2 Moscow/ID/2001,11
Enterobacteria phage IME08,253
Enterobacteria phage IME10,27
Enterobacteria phage If1,10
Enterobacteria phage Ike,12
Enterobacteria phage J8-65,47
Enterobacteria phage JS10,265
Enterobacteria phage JenK1,86
Enterobacteria phage JenP1,87
Enterobacteria phage JenP2,87
Enterobacteria phage K1F,43
Enterobacteria phage M,4
Enterobacteria phage P4,14
Enterobacteria phage P88,53
Enterobacteria phage Phi1,276
Enterobacteria phage RB14,274
Enterobacteria phage RB16,270
Enterobacteria phage RB27,271
Enterobacteria phage RB3,273
Enterobacteria phage RB32,270
Enterobacteria phage RB43,292
Enterobacteria phage RB49,279
Enterobacteria phage RB51,273
Enterobacteria phage RB68,276
Enterobacteria phage RB69,273
Enterobacteria phage ST104,63
Enterobacteria phage Sf101,66
Enterobacteria phage SfI,65
Enterobacteria phage SfV,53
Enterobacteria phage St-1,11
Enterobacteria phage T3,55
Enterobacteria phage T4,278
Enterobacteria phage T7,60
Enterobacteria phage UAB_Phi20,80
Enterobacteria phage UAB_Phi78,58
Enterobacteria phage VT2-Sakai,83
Enterobacteria phage VT2phi_272,83
Enterobacteria phage WA13 sensu lato,10
Enterobacteria phage WPhi,44
Enterobacteria phage YYZ-2008,75
Enterobacteria phage alpha3,10
Enterobacteria phage cdtI,60
Enterobacteria phage epsilon15,51
Enterobacteria phage fd,10
Enterobacteria phage fiAA91-ss,40
Enterobacteria phage mEp043 c-1,69
Enterobacteria phage mEp235,61
Enterobacteria phage mEp237,63
Enterobacteria phage mEp460,59
Enterobacteria phage mEpX1,66
Enterobacteria phage mEpX2,67
Enterobacteria phage phi80,63
Enterobacteria phage phi92,252
Enterobacteria phage phiEcoM-GJ1,75
Enterobacteria phage phiP27,58
Enterobacteria phage phiX174 sensu lato,11
Enterobacteria phage vB_EcoM_VR5,271
Enterobacteria phage vB_EcoP_ACG-C91,56
Enterobacteria phage vB_EcoS_NBD2,87
Enterobacteria phage vB_EcoS_Rogue1,74
Enterobacteria phage vB_KleM-RaK2,534
Enterobacterial phage mEp213,74
Enterobacterial phage mEp234,61
Enterobacterial phage mEp390,59
Enterobacteriaphage UAB_Phi87,147
Enterococcus phage BC611,87
Enterococcus phage ECP3,220
Enterococcus phage EF62phi,48
Enterococcus phage EFAP-1,24
Enterococcus phage EFC-1,59
Enterococcus phage EFDG1,210
Enterococcus phage EFLK1,209
Enterococcus phage EFRM31,23
Enterococcus phage Ec-ZZ2,59
Enterococcus phage EfaCPT1,69
Enterococcus phage IME-EF4,60
Enterococcus phage IME-EFm1,70
Enterococcus phage IME-EFm5,70
Enterococcus phage IME_EF3,69
Enterococcus phage SANTOR1,60
Enterococcus phage VD13,88
Enterococcus phage phiEF24C,221
Enterococcus phage phiEf11,65
Enterococcus phage phiFL1A,61
Enterococcus phage phiFL2A,63
Enterococcus phage phiFL3A,64
Enterococcus phage phiFL4A,55
Enterococcus phage vB_EfaP_IME195,27
Enterococcus phage vB_EfaS_IME196,57
Enterococcus phage vB_EfaS_IME197,70
Enterococcus phage vB_EfaS_IME198,95
Enterococcus phage vB_Efae230P-4,25
Erwinia amylovora phage Era103,53
Erwinia phage ENT90,60
Erwinia phage Ea35-70,318
Erwinia phage Ea9-2,94
Erwinia phage FE44,51
Erwinia phage PEp14,64
Erwinia phage PhiEaH1,241
Erwinia phage phiEa100,51
Erwinia phage phiEa104,118
Erwinia phage phiEa21-4,118
Erwinia phage phiEa2809,145
Erwinia phage phiEaH2,262
Erwinia phage phiEt88,68
Erwinia phage vB_EamM-Y2,92
Erwinia phage vB_EamM_Asesino,277
Erwinia phage vB_EamM_Caitlin,271
Erwinia phage vB_EamM_ChrisDB,277
Erwinia phage vB_EamM_EarlPhillipIV,241
Erwinia phage vB_EamM_Huxley,271
Erwinia phage vB_EamM_Kwan,285
Erwinia phage vB_EamM_Phobos,247
Erwinia phage vB_EamP-L1,51
Erwinia phage vB_EamP-S6,115
Erwinia phage vB_EamP_Frozen,92
Erysipelothrix phage SE-1,43
Escherichia Stx1 converting phage,167
Escherichia phage 121Q,611
Escherichia phage 172-1,130
Escherichia phage 4MG,271
Escherichia phage 64795_ec1,45
Escherichia phage ADB-2,78
Escherichia phage APCEc01,272
Escherichia phage AR1,281
Escherichia phage Av-05,209
Escherichia phage Bp4,94
Escherichia phage CAjan,91
Escherichia phage CICC 80001,49
Escherichia phage D108,57
Escherichia phage EB49,74
Escherichia phage EC6,136
Escherichia phage ECBP1,82
Escherichia phage ECBP2,120
Escherichia phage ECBP5,62
Escherichia phage ECML-117,94
Escherichia phage ECML-134,270
Escherichia phage ECML-4,198
Escherichia phage EK99P-1,62
Escherichia phage Envy,62
Escherichia phage FFH2,218
Escherichia phage FV3,218
Escherichia phage Gluttony,61
Escherichia phage HK578,60
Escherichia phage HK639,76
Escherichia phage HK75,58
Escherichia phage HX01,266
Escherichia phage HY01,255
Escherichia phage HY02,125
Escherichia phage HY03,269
Escherichia phage IME11,91
Escherichia phage JES2013,220
Escherichia phage JH2,131
Escherichia phage JS98,266
Escherichia phage JSE,277
Escherichia phage K1-dep(1),50
Escherichia phage K1-dep(4),52
Escherichia phage K30,49
Escherichia phage KBNP1711,126
Escherichia phage LM33_P1,49
Escherichia phage Lw1,273
Escherichia phage MX01,266
Escherichia phage Min27,83
Escherichia phage N4,72
Escherichia phage NJ01,109
Escherichia phage P13374,79
Escherichia phage P483,45
Escherichia phage P694,50
Escherichia phage PA2,84
Escherichia phage PBECO 4,551
Escherichia phage PE3-1,48
Escherichia phage PhaxI,209
Escherichia phage Pollock,85
Escherichia phage QL01,275
Escherichia phage SUSP1,139
Escherichia phage SUSP2,131
Escherichia phage Seurat,88
Escherichia phage Stx2 II,170
Escherichia phage TL-2011b,57
Escherichia phage TL-2011c,72
Escherichia phage UFV-AREG1,274
Escherichia phage V5,233
Escherichia phage WG01,273
Escherichia phage YD-2008.s,62
Escherichia phage e4/1c,72
Escherichia phage ime09,268
Escherichia phage phAPEC8,269
Escherichia phage phi191,87
Escherichia phage phiKT,31
Escherichia phage phiV10,55
Escherichia phage pro147,44
Escherichia phage pro483,43
Escherichia phage slur01,90
Escherichia phage slur02,266
Escherichia phage slur05,58
Escherichia phage slur07,266
Escherichia phage slur09,160
Escherichia phage slur14,272
Escherichia phage slur16,206
Escherichia phage vB_EcoM-UFV13,268
Escherichia phage vB_EcoM-VpaE1,132
Escherichia phage vB_EcoM-ep3,51
Escherichia phage vB_EcoM_112,279
Escherichia phage vB_EcoM_ACG-C40,282
Escherichia phage vB_EcoM_AYO145A,131
Escherichia phage vB_EcoM_Alf5,133
Escherichia phage vB_EcoM_ECO1230-10,56
Escherichia phage vB_EcoM_JS09,273
Escherichia phage vB_EcoM_PhAPEC2,254
Escherichia phage vB_EcoM_VR20,286
Escherichia phage vB_EcoM_VR25,293
Escherichia phage vB_EcoM_VR26,291
Escherichia phage vB_EcoM_VR7,293
Escherichia phage vB_EcoP_24B,88
Escherichia phage vB_EcoP_G7C,79
Escherichia phage vB_EcoP_GA2A,56
Escherichia phage vB_EcoP_PhAPEC5,83
Escherichia phage vB_EcoP_PhAPEC7,83
Escherichia phage vB_EcoP_SU10,125
Escherichia phage vB_EcoS_AHP42,76
Escherichia phage vB_EcoS_AHS24,81
Escherichia phage vB_EcoS_AKS96,74
Escherichia phage vB_EcoS_FFH1,156
Escherichia phage vB_Eco_ACG-M12,78
Escherichia phage wV7,273
Escherichia phage wV8,140
Escherichia virus 186,46
Escherichia virus AKFV33,160
Escherichia virus BZ13,4
Escherichia virus CBA120,204
Escherichia virus DT57C,133
Escherichia virus EPS7,170
Escherichia virus FI,4
Escherichia virus HK022,35
Escherichia virus HK97,61
Escherichia virus I22,9
Escherichia virus JL1,60
Escherichia virus K1-5,52
Escherichia virus K1E,62
Escherichia virus KP26,82
Escherichia virus Lambda,74
Escherichia virus M13,10
Escherichia virus MS2,4
Escherichia virus Mu,55
Escherichia virus N15,60
Escherichia virus P1,110
Escherichia virus P2,43
Escherichia virus Qbeta,4
Escherichia virus Rtp,75
Escherichia virus SSL2009a,67
Escherichia virus T1,78
Escherichia virus T5,163
Escherichia virus TLS,87
Escherichia virus phiEco32,128
Escherichia virus phiK,10
Flavobacterium phage 11b,65
Flavobacterium phage 1H,48
Flavobacterium phage 2A,61
Flavobacterium phage 6H,63
Flavobacterium phage FCL-2,74
Flavobacterium phage Fpv1,80
Flavobacterium phage Fpv10,58
Flavobacterium phage Fpv11,58
Flavobacterium phage Fpv2,80
Flavobacterium phage Fpv20,82
Flavobacterium phage Fpv3,79
Flavobacterium phage Fpv5,58
Flavobacterium phage Fpv6,58
Flavobacterium phage Fpv7,58
Flavobacterium phage Fpv8,58
Geobacillus phage GBK2,62
Geobacillus phage GBSV1,54
Geobacillus virus E2,71
Geobacillus virus E3,201
Gokushovirinae Bog1183_53,5
Gokushovirinae Bog5712_52,6
Gokushovirinae Bog8989_22,6
Gokushovirinae Fen672_31,7
Gokushovirinae Fen7875_21,6
Gokushovirinae GAIR4,1
Gokushovirinae GNX3R,1
Gordonia phage Bachita,182
Gordonia phage Bantam,168
Gordonia phage BaxterFox,86
Gordonia phage BetterKatz,75
Gordonia phage Blueberry,86
Gordonia phage Bowser,67
Gordonia phage BritBrat,98
Gordonia phage CaptainKirk2,79
Gordonia phage CarolAnn,80
Gordonia phage ClubL,179
Gordonia phage Cozz,68
Gordonia phage Cucurbita,178
Gordonia phage Demosthenes,95
Gordonia phage Emalyn,67
Gordonia phage Eyre,74
Gordonia phage GAL1,82
Gordonia phage GMA1,68
Gordonia phage GMA3,104
Gordonia phage GMA4,68
Gordonia phage GMA5,28
Gordonia phage GMA6,115
Gordonia phage GMA7,101
Gordonia phage GRU1,94
Gordonia phage GRU3,26
Gordonia phage GTE2,57
Gordonia phage GTE5,92
Gordonia phage GTE6,86
Gordonia phage GTE7,103
Gordonia phage GTE8,94
Gordonia phage Ghobes,59
Gordonia phage Gmala1,90
Gordonia phage GordDuk1,97
Gordonia phage GordTnk2,98
Gordonia phage Gsput1,71
Gordonia phage Guacamole,78
Gordonia phage Hedwig,70
Gordonia phage Hotorobo,108
Gordonia phage JSwag,101
Gordonia phage Jumbo,102
Gordonia phage KatherineG,98
Gordonia phage Kita,80
Gordonia phage Kvothe,99
Gordonia phage Lucky10,70
Gordonia phage McGonagall,27
Gordonia phage Monty,105
Gordonia phage Nyceirae,60
Gordonia phage Nymphadora,84
Gordonia phage Obliviate,80
Gordonia phage OneUp,163
Gordonia phage Orchid,114
Gordonia phage Phinally,87
Gordonia phage Remus,98
Gordonia phage Rosalind,99
Gordonia phage Schwabeltier,71
Gordonia phage Smoothie,179
Gordonia phage SoilAssassin,74
Gordonia phage Soups,99
Gordonia phage Splinter,79
Gordonia phage Terapin,97
Gordonia phage Twister6,93
Gordonia phage UmaThurman,83
Gordonia phage Utz,71
Gordonia phage Vendetta,79
Gordonia phage Vivi2,89
Gordonia phage Wizard,89
Gordonia phage Woes,91
Gordonia phage Yeezy,86
Gordonia phage Yvonnetastic,198
Gordonia phage Zirinka,79
Guinea pig Chlamydia phage,9
Haemophilus phage Aaphi23,66
Haemophilus phage HP1,42
Haemophilus phage HP2,37
Haemophilus phage SuMu,55
Haloarcula californiae icosahedral virus 1,47
Haloarcula hispanica icosahedral virus 2,43
Haloarcula hispanica pleomorphic virus 1,9
Haloarcula hispanica pleomorphic virus 2,8
Haloarcula hispanica virus PH1,49
Haloarcula hispanica virus SH1,56
Halocynthia phage JM-2012,173
Halogeometricum pleomorphic virus 1,16
Halomonas phage phiHAP-1,46
Halorubrum phage CGphi46,55
Halorubrum phage HF2,114
Halorubrum pleomorphic virus 1,10
Halorubrum pleomorphic virus 2,16
Halorubrum pleomorphic virus 3,13
Halorubrum pleomorphic virus 6,11
Halovirus HCTV-1,160
Halovirus HCTV-2,86
Halovirus HCTV-5,166
Halovirus HF1,102
Halovirus HGTV-1,281
Halovirus HHTV-1,74
Halovirus HHTV-2,88
Halovirus HRTV-4,73
Halovirus HRTV-5,118
Halovirus HRTV-7,105
Halovirus HRTV-8,124
Halovirus HSTV-1,53
Halovirus HSTV-2,103
Halovirus HVTV-1,173
Halovirus VNH-1,7
Hamiltonella virus APSE1,54
Helicobacter phage 1961P,33
Helicobacter phage KHP30,30
Helicobacter phage KHP40,32
Helicobacter phage phiHP33,27
His 1 virus,35
His2 virus,35
Hydrogenobaculum phage 1,26
Hyperthermophilic Archaeal Virus 1,40
Hyperthermophilic Archaeal Virus 2,15
Idiomarinaceae phage 1N2-2,56
Idiomarinaceae phage Phi1M2-2,65
Iodobacteriophage phiPLPE,84
Klebsiella phage 0507-KN2-1,154
Klebsiella phage 1513,72
Klebsiella phage F19,51
Klebsiella phage JD001,68
Klebsiella phage JD18,278
Klebsiella phage K11,51
Klebsiella phage K5,46
Klebsiella phage K64-1,64
Klebsiella phage KLPN1,72
Klebsiella phage KP15,258
Klebsiella phage KP27,276
Klebsiella phage KP32,44
Klebsiella phage KP34,57
Klebsiella phage KP36,79
Klebsiella phage Kp2,58
Klebsiella phage KpV41,55
Klebsiella phage KpV475,51
Klebsiella phage KpV71,53
Klebsiella phage Matisse,280
Klebsiella phage NTUH-K2044-K1-1,35
Klebsiella phage PKO111,203
Klebsiella phage PKP126,78
Klebsiella phage Sushi,76
Klebsiella phage phiKO2,64
Klebsiella phage vB_Kp1,47
Klebsiella phage vB_KpnM_KB57,245
Klebsiella phage vB_KpnM_KpV477,275
Klebsiella phage vB_KpnP_KpV289,51
Klebsiella phage vB_KpnP_SU503,54
Klebsiella phage vB_KpnP_SU552A,54
Kluyvera phage Kvp1,47
Lactobacillus phage A2,62
Lactobacillus phage CL1,62
Lactobacillus phage CL2,60
Lactobacillus phage J-1,63
Lactobacillus phage JCL1032,77
Lactobacillus phage KC5a,61
Lactobacillus phage LBR48,86
Lactobacillus phage LF1,57
