,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
14,Acinetobacter~bacteriophage~AP22,Caudovirales,Myoviridae,Ap22virus,122_0,Clustered,4,VC_122_0,4,0.7303,0.99976889,0.7301,2,2,2,1.0
15,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
16,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
17,Acinetobacter~phage~Bphi-B1251,Caudovirales,Podoviridae,Unassigned,249_0,Clustered,2,VC_249_0,2,0.4797,0.89435023,0.429,1,2,2,1.0
18,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
19,Acinetobacter~phage~LZ35,Unassigned,Unassigned,Unassigned,122_0,Clustered,4,VC_122_0,4,0.7303,0.99976889,0.7301,2,2,2,1.0
20,Acinetobacter~phage~Petty,Caudovirales,Podoviridae,Unassigned,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
21,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,122_0,Clustered,4,VC_122_0,4,0.7303,0.99976889,0.7301,2,2,2,1.0
22,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Unassigned,122_0,Clustered,4,VC_122_0,4,0.7303,0.99976889,0.7301,2,2,2,1.0
23,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
24,Acinetobacter~phage~phiAB6,Unassigned,Unassigned,Unassigned,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
25,Acinetobacter~phage~vB_AbaM_Acibel004,Caudovirales,Myoviridae,Unassigned,185_0,Clustered,2,VC_185_0,2,0.1459,0.95225822,0.1389,1,2,2,1.0
26,Acinetobacter~phage~vB_AbaM_IME200,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
27,Acinetobacter~phage~vB_AbaM_phiAbaA1,Unassigned,Unassigned,Unassigned,185_0,Clustered,2,VC_185_0,2,0.1459,0.95225822,0.1389,1,2,2,1.0
28,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Unassigned,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
29,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
30,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,87_0,Clustered,10,VC_87_0,10,0.6537,1.0,0.6537,2,2,2,1.0
31,Acinetobacter~phage~vB_AbaS_TRS1,Unassigned,Unassigned,Unassigned,249_0,Clustered,2,VC_249_0,2,0.4797,0.89435023,0.429,1,2,2,1.0
32,Actinomyces~virus~Av1,Caudovirales,Podoviridae,Unassigned,364_0,Clustered,3,VC_364_0,3,0.1412,0.71713866,0.1013,2,1,1,1.0
33,Actinoplanes~phage~phiAsp2,Caudovirales,Siphoviridae,Unassigned,179_0,Clustered,3,VC_179_0,3,0.1597,0.99079769,0.1583,1,2,2,1.0
34,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,5_1,Clustered,5,VC_5_1,5,0.0873,0.99999994,0.0873,1,1,1,0.9
35,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,5_1,Clustered,5,VC_5_1,5,0.0873,0.99999994,0.0873,1,1,1,0.9
36,Aeromonas~phage~CC2,Caudovirales,Myoviridae,Unassigned,4_2,Clustered,2,VC_4_2,2,0.0269,0.95682956,0.0258,1,1,1,1.0
37,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,4_3,Clustered,3,VC_4_3,3,0.049,0.99854519,0.0489,1,1,1,1.0
38,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,572_0,Clustered,5,VC_572_0,5,1.0,1.0,1.0,1,1,1,1.0
39,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,5_1,Clustered,5,VC_5_1,5,0.0873,0.99999994,0.0873,1,1,1,0.9
40,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,4_3,Clustered,3,VC_4_3,3,0.049,0.99854519,0.0489,1,1,1,1.0
41,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,110_0,Clustered,5,VC_110_0,5,0.5686,0.99999993,0.5686,1,1,1,1.0
42,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,5_1,Clustered,5,VC_5_1,5,0.0873,0.99999994,0.0873,1,1,1,0.9
43,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,5_0,Clustered,2,VC_5_0,2,0.021,0.94843024,0.0199,2,1,1,1.0
44,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,5_0,Clustered,2,VC_5_0,2,0.021,0.94843024,0.0199,2,1,1,1.0
45,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,4_2,Clustered,2,VC_4_2,2,0.0269,0.95682956,0.0258,1,1,1,1.0
46,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,4_3,Clustered,3,VC_4_3,3,0.049,0.99854519,0.0489,1,1,1,1.0
47,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,130_0,Clustered,7,VC_130_0,7,0.5337,1.0,0.5337,2,2,2,1.0
48,Aggregatibacter~phage~S1249,Unassigned,Unassigned,Unassigned,111_0,Clustered,2,VC_111_0,2,0.4407,0.94437043,0.4162,1,2,2,1.0
49,Agrobacterium~phage~7-7-1,Caudovirales,Myoviridae,Unassigned,131_0,Clustered,6,VC_131_0,6,0.1905,0.98173882,0.187,2,4,2,1.0
50,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,670_0,Clustered,2,VC_670_0,2,0.8206,0.72985431,0.5989,1,2,2,1.0
51,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Chippewavirus,735_0,Clustered,2,VC_735_0,2,1.0,1.0,1.0,2,1,1,1.0
52,Arthrobacter~phage~Decurro,Caudovirales,Siphoviridae,Decurrovirus,366_0,Clustered,8,VC_366_0,8,0.75,0.99995375,0.7499,2,2,2,1.0
53,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,736_0,Clustered,2,VC_736_0,2,1.0,1.0,1.0,1,1,1,1.0
54,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,736_0,Clustered,2,VC_736_0,2,1.0,1.0,1.0,1,1,1,1.0
55,Arthrobacter~phage~Mudcat,Caudovirales,Siphoviridae,Mudcatvirus,295_0,Clustered,9,VC_295_0,9,0.6284,1.0,0.6284,3,2,2,1.0
56,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arvunavirus,735_0,Clustered,2,VC_735_0,2,1.0,1.0,1.0,2,1,1,1.0
57,Azospirillum~phage~Cd,Caudovirales,Siphoviridae,Unassigned,532_0,Clustered,2,VC_532_0,2,0.0989,0.59870633,0.0592,1,2,2,1.0
58,Bacillus~phage~Aurora,Unassigned,Unassigned,Unassigned,415_0,Clustered,4,VC_415_0,4,0.6544,0.99989518,0.6543,1,2,2,1.0
59,Bacillus~phage~AvesoBmore,Caudovirales,Myoviridae,B4virus,33_3,Clustered,5,VC_33_3,5,0.0896,0.99999986,0.0896,2,2,2,1.0
60,Bacillus~phage~B4,Caudovirales,Myoviridae,B4virus,33_4,Clustered,2,VC_33_4,2,0.0213,0.93761633,0.0199,1,1,1,1.0
61,Bacillus~phage~BCP78,Caudovirales,Myoviridae,Tsarbombavirus,33_6,Clustered,2,VC_33_6,2,0.0245,0.95578376,0.0235,1,1,1,1.0
62,Bacillus~phage~BCP8-2,Caudovirales,Myoviridae,Bc431virus,33_7,Clustered,2,VC_33_7,2,0.0247,0.94753469,0.0234,1,1,1,1.0
63,Bacillus~phage~BPS10C,Caudovirales,Myoviridae,Unassigned,33_5,Clustered,4,VC_33_5,4,0.0651,0.99919487,0.0651,2,2,2,1.0
64,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,33_5,Clustered,4,VC_33_5,4,0.0651,0.99919487,0.0651,2,2,2,1.0
65,Bacillus~phage~BalMu-1,Unassigned,Unassigned,Unassigned,533_0,Clustered,2,VC_533_0,2,0.0661,0.5,0.0331,1,1,1,1.0
66,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,619_0,Clustered,4,VC_619_0,4,1.0,1.0,1.0,1,1,1,1.0
67,Bacillus~phage~Bastille,Caudovirales,Myoviridae,Bastillevirus,33_2,Clustered,4,VC_33_2,4,0.0652,0.99998456,0.0652,1,1,1,1.0
68,Bacillus~phage~Bcp1,Caudovirales,Myoviridae,Bc431virus,33_8,Clustered,3,VC_33_8,3,0.0496,0.99791147,0.0495,1,1,1,1.0
69,Bacillus~phage~Belinda,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
70,Bacillus~phage~BigBertha,Caudovirales,Myoviridae,B4virus,33_3,Clustered,5,VC_33_3,5,0.0896,0.99999986,0.0896,2,2,2,1.0
71,Bacillus~phage~Bobb,Caudovirales,Myoviridae,Agatevirus,33_9,Clustered,3,VC_33_9,3,0.0635,0.99848566,0.0635,1,1,1,1.0
72,Bacillus~phage~Bp8p-C,Caudovirales,Myoviridae,Agatevirus,33_9,Clustered,3,VC_33_9,3,0.0635,0.99848566,0.0635,1,1,1,1.0
73,Bacillus~phage~BtCS33,Caudovirales,Siphoviridae,Unassigned,220_1,Clustered,4,VC_220_1,4,0.3485,0.99982927,0.3485,1,1,1,1.0
74,Bacillus~phage~CAM003,Caudovirales,Myoviridae,Bastillevirus,33_2,Clustered,4,VC_33_2,4,0.0652,0.99998456,0.0652,1,1,1,1.0
75,Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,25_1,Clustered,3,VC_25_1,3,0.5163,0.99784425,0.5152,1,1,1,1.0
76,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,25_0,Clustered,2,VC_25_0,2,0.2312,0.95357988,0.2205,1,1,1,1.0
77,Bacillus~phage~Claudi,Unassigned,Unassigned,Unassigned,415_0,Clustered,4,VC_415_0,4,0.6544,0.99989518,0.6543,1,2,2,1.0
78,Bacillus~phage~DIGNKC,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
79,Bacillus~phage~Deep~Blue,Caudovirales,Myoviridae,Bc431virus,33_8,Clustered,3,VC_33_8,3,0.0496,0.99791147,0.0495,1,1,1,1.0
80,Bacillus~phage~DirtyBetty,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
81,Bacillus~phage~Eldridge,Unassigned,Unassigned,Unassigned,33_11,Clustered,2,VC_33_11,2,0.0299,0.95594622,0.0286,1,2,2,1.0
82,Bacillus~phage~Evoli,Caudovirales,Myoviridae,Bastillevirus,33_2,Clustered,4,VC_33_2,4,0.0652,0.99998456,0.0652,1,1,1,1.0
83,Bacillus~phage~Eyuki,Caudovirales,Myoviridae,Wphvirus,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
84,Bacillus~phage~Fah,Caudovirales,Siphoviridae,Unassigned,226_0,Clustered,3,VC_226_0,3,0.4106,0.99799573,0.4098,2,1,1,1.0
85,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,619_0,Clustered,4,VC_619_0,4,1.0,1.0,1.0,1,1,1,1.0
86,Bacillus~phage~Gamma,Caudovirales,Siphoviridae,Unassigned,226_0,Clustered,3,VC_226_0,3,0.4106,0.99799573,0.4098,2,1,1,1.0
87,Bacillus~phage~Grass,Caudovirales,Myoviridae,Nit1virus,33_10,Clustered,2,VC_33_10,2,0.0311,0.95598343,0.0297,1,1,1,1.0
88,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
89,Bacillus~phage~Hoody~T,Caudovirales,Myoviridae,Bastillevirus,33_2,Clustered,4,VC_33_2,4,0.0652,0.99998456,0.0652,1,1,1,1.0
90,Bacillus~phage~JBP901,Caudovirales,Myoviridae,Bc431virus,33_7,Clustered,2,VC_33_7,2,0.0247,0.94753469,0.0234,1,1,1,1.0
91,Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,25_1,Clustered,3,VC_25_1,3,0.5163,0.99784425,0.5152,1,1,1,1.0
92,Bacillus~phage~Kida,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
93,Bacillus~phage~MG-B1,Caudovirales,Podoviridae,Unassigned,415_0,Clustered,4,VC_415_0,4,0.6544,0.99989518,0.6543,1,2,2,1.0
94,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
95,Bacillus~phage~Moonbeam,Caudovirales,Myoviridae,Unassigned,33_11,Clustered,2,VC_33_11,2,0.0299,0.95594622,0.0286,1,2,2,1.0
96,Bacillus~phage~Nemo,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
97,Bacillus~phage~Nigalana,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
98,Bacillus~phage~NotTheCreek,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
99,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
100,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
101,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
102,Bacillus~phage~Pavlov,Caudovirales,Podoviridae,Unassigned,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
103,Bacillus~phage~Phrodo,Unassigned,Unassigned,Unassigned,33_3,Clustered,5,VC_33_3,5,0.0896,0.99999986,0.0896,2,2,2,1.0
104,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
105,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,416_0,Clustered,6,VC_416_0,6,0.8671,0.99999959,0.8671,2,1,1,1.0
106,Bacillus~phage~Riley,Caudovirales,Myoviridae,B4virus,33_3,Clustered,5,VC_33_3,5,0.0896,0.99999986,0.0896,2,2,2,1.0
107,Bacillus~phage~SPP1,Caudovirales,Siphoviridae,Unassigned,141_0,Clustered,2,VC_141_0,2,0.1043,0.94886767,0.099,1,1,1,1.0
108,Bacillus~phage~SageFayge,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
109,Bacillus~phage~SalinJah,Unassigned,Unassigned,Unassigned,33_5,Clustered,4,VC_33_5,4,0.0651,0.99919487,0.0651,2,2,2,1.0
110,Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,25_1,Clustered,3,VC_25_1,3,0.5163,0.99784425,0.5152,1,1,1,1.0
111,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,573_0,Clustered,4,VC_573_0,4,0.9975,0.96662349,0.9642,1,1,1,1.0
112,Bacillus~phage~Spock,Caudovirales,Myoviridae,B4virus,33_4,Clustered,2,VC_33_4,2,0.0213,0.93761633,0.0199,1,1,1,1.0
113,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,573_0,Clustered,4,VC_573_0,4,0.9975,0.96662349,0.9642,1,1,1,1.0
114,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,573_0,Clustered,4,VC_573_0,4,0.9975,0.96662349,0.9642,1,1,1,1.0
115,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,573_0,Clustered,4,VC_573_0,4,0.9975,0.96662349,0.9642,1,1,1,1.0
116,Bacillus~phage~Stitch,Unassigned,Unassigned,Unassigned,415_0,Clustered,4,VC_415_0,4,0.6544,0.99989518,0.6543,1,2,2,1.0
117,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,311_0,Clustered,2,VC_311_0,2,0.7588,0.85557782,0.6492,1,1,1,1.0
118,Bacillus~phage~Troll,Caudovirales,Myoviridae,B4virus,33_3,Clustered,5,VC_33_3,5,0.0896,0.99999986,0.0896,2,2,2,1.0
119,Bacillus~phage~TsarBomba,Caudovirales,Myoviridae,Tsarbombavirus,33_6,Clustered,2,VC_33_6,2,0.0245,0.95578376,0.0235,1,1,1,1.0
120,Bacillus~phage~VMY22,Caudovirales,Podoviridae,Unassigned,363_0,Clustered,4,VC_363_0,4,0.4084,0.99992345,0.4084,2,1,1,1.0
121,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,33_5,Clustered,4,VC_33_5,4,0.0651,0.99919487,0.0651,2,2,2,1.0
122,Bacillus~phage~Waukesha92,Caudovirales,Siphoviridae,Unassigned,220_0,Clustered,3,VC_220_0,3,0.4413,0.99707042,0.44,1,1,1,1.0
123,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,619_0,Clustered,4,VC_619_0,4,1.0,1.0,1.0,1,1,1,1.0
124,Bacillus~phage~Zuko,Unassigned,Unassigned,Unassigned,33_0,Clustered,12,VC_33_0,12,0.2861,1.0,0.2861,2,2,2,1.0
125,Bacillus~phage~phIS3501,Caudovirales,Siphoviridae,Unassigned,220_1,Clustered,4,VC_220_1,4,0.3485,0.99982927,0.3485,1,1,1,1.0
126,Bacillus~phage~phi4J1,Caudovirales,Siphoviridae,Unassigned,220_0,Clustered,3,VC_220_0,3,0.4413,0.99707042,0.44,1,1,1,1.0
127,Bacillus~phage~phiAGATE,Caudovirales,Myoviridae,Agatevirus,33_9,Clustered,3,VC_33_9,3,0.0635,0.99848566,0.0635,1,1,1,1.0
128,Bacillus~phage~phiCM3,Caudovirales,Siphoviridae,Unassigned,220_1,Clustered,4,VC_220_1,4,0.3485,0.99982927,0.3485,1,1,1,1.0
129,Bacillus~phage~phiNIT1,Caudovirales,Myoviridae,Nit1virus,33_10,Clustered,2,VC_33_10,2,0.0311,0.95598343,0.0297,1,1,1,1.0
130,Bacillus~phage~vB_BceM_Bc431v3,Caudovirales,Myoviridae,Bc431virus,33_8,Clustered,3,VC_33_8,3,0.0496,0.99791147,0.0495,1,1,1,1.0
131,Bacillus~phage~vB_BtS_BMBtp3,Caudovirales,Siphoviridae,Unassigned,220_0,Clustered,3,VC_220_0,3,0.4413,0.99707042,0.44,1,1,1,1.0
132,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,243_0,Clustered,2,VC_243_0,2,0.402,0.94249327,0.3789,1,1,1,1.0
133,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,80_0,Clustered,2,VC_80_0,2,0.3774,0.94713201,0.3574,1,1,1,1.0
134,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,619_0,Clustered,4,VC_619_0,4,1.0,1.0,1.0,1,1,1,1.0
135,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
136,Bacillus~virus~B103,Caudovirales,Podoviridae,Phi29virus,363_0,Clustered,4,VC_363_0,4,0.4084,0.99992345,0.4084,2,1,1,1.0
137,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,311_0,Clustered,2,VC_311_0,2,0.7588,0.85557782,0.6492,1,1,1,1.0
138,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
139,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
140,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
141,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
142,Bacillus~virus~GA1,Caudovirales,Podoviridae,Phi29virus,363_0,Clustered,4,VC_363_0,4,0.4084,0.99992345,0.4084,2,1,1,1.0
143,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
144,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,80_0,Clustered,2,VC_80_0,2,0.3774,0.94713201,0.3574,1,1,1,1.0
145,Bacillus~virus~Riggi,Caudovirales,Siphoviridae,Andromedavirus,474_0,Clustered,7,VC_474_0,7,0.9979,0.99994708,0.9979,1,1,1,1.0
146,Bacillus~virus~SPO1,Caudovirales,Myoviridae,Spo1virus,25_0,Clustered,2,VC_25_0,2,0.2312,0.95357988,0.2205,1,1,1,1.0
147,Bacillus~virus~Wbeta,Caudovirales,Siphoviridae,Wbetavirus,226_0,Clustered,3,VC_226_0,3,0.4106,0.99799573,0.4098,2,1,1,1.0
148,Bacillus~virus~phi29,Caudovirales,Podoviridae,Phi29virus,363_0,Clustered,4,VC_363_0,4,0.4084,0.99992345,0.4084,2,1,1,1.0
149,Bacteriophage~APSE-2,Caudovirales,Podoviridae,Unassigned,181_0,Clustered,2,VC_181_0,2,0.1357,0.95213171,0.1292,1,1,1,1.0
150,Bacteriophage~Lily,Caudovirales,Siphoviridae,Unassigned,368_0,Clustered,2,VC_368_0,2,0.075,0.5,0.0375,1,2,1,1.0
151,Bacteroides~phage~B124-14,Caudovirales,Siphoviridae,Unassigned,125_0,Clustered,2,VC_125_0,2,0.4758,0.94540438,0.4498,1,1,1,1.0
152,Bacteroides~phage~B40-8,Caudovirales,Siphoviridae,Unassigned,125_0,Clustered,2,VC_125_0,2,0.4758,0.94540438,0.4498,1,1,1,1.0
153,Bdellovibrio~phage~phi1402,Caudovirales,Myoviridae,Unassigned,575_0,Clustered,5,VC_575_0,5,1.0,1.0,1.0,1,2,2,1.0
154,Bdellovibrio~phage~phi1422,Caudovirales,Myoviridae,Unassigned,393_0,Clustered,2,VC_393_0,2,0.3674,0.93865445,0.3449,1,2,2,1.0
155,Bdellovibrio~phage~phiMH2K,Unassigned,Microviridae,Bdellomicrovirus,335_0,Clustered,11,VC_335_0,11,0.8281,1.0,0.8281,3,1,1,1.0
156,Bordetella~virus~BPP1,Caudovirales,Podoviridae,Bpp1virus,36_0,Clustered,40,VC_36_0,40,0.6832,1.0,0.6832,3,2,2,0.9859
157,Brevibacillus~phage~Abouo,Caudovirales,Myoviridae,Abouovirus,272_0,Clustered,4,VC_272_0,4,0.6937,0.99996625,0.6936,2,1,1,1.0
158,Brevibacillus~phage~Davies,Caudovirales,Myoviridae,Abouovirus,272_0,Clustered,4,VC_272_0,4,0.6937,0.99996625,0.6936,2,1,1,1.0
159,Brevibacillus~phage~Jimmer1,Caudovirales,Myoviridae,Jimmervirus,272_0,Clustered,4,VC_272_0,4,0.6937,0.99996625,0.6936,2,1,1,1.0
160,Brevibacillus~phage~Osiris,Caudovirales,Myoviridae,Jimmervirus,272_0,Clustered,4,VC_272_0,4,0.6937,0.99996625,0.6936,2,1,1,1.0
161,Brucella~phage~BiPBO1,Unassigned,Unassigned,Unassigned,443_0,Clustered,2,VC_443_0,2,0.3607,0.91813282,0.3312,1,2,2,1.0
162,Brucella~phage~Pr,Caudovirales,Podoviridae,Prtbvirus,194_0,Clustered,2,VC_194_0,2,0.6086,0.94166128,0.573,1,1,1,1.0
163,Brucella~phage~Tb,Caudovirales,Podoviridae,Prtbvirus,194_0,Clustered,2,VC_194_0,2,0.6086,0.94166128,0.573,1,1,1,1.0
