contig_id,index,pos,proteins,origin,order,family,genus,pos_cluster,pos_clusters,membership,pos_cluster_mbship,predicted_genus,predicted_family,predicted_order
Acidianus~filamentous~virus~6,15,15,66,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442,,1.0,442.0,Betalipothrixvirus,Lipothrixviridae,Ligamenvirales
Acidianus~filamentous~virus~7,16,16,57,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442,,1.0,442.0,Betalipothrixvirus,Lipothrixviridae,Ligamenvirales
Acidianus~filamentous~virus~8,17,17,61,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442,,1.0,442.0,Betalipothrixvirus,Lipothrixviridae,Ligamenvirales
Acidianus~filamentous~virus~9,18,18,73,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442,,1.0,442.0,Betalipothrixvirus,Lipothrixviridae,Ligamenvirales
Acidianus~rod-shaped~virus~1,19,19,41,RefSeq-85,Ligamenvirales,Rudiviridae,Rudivirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acidianus~rod-shaped~virus~2,20,20,43,RefSeq-85,Ligamenvirales,Rudiviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acidianus~spindle-shaped~virus~1,21,21,38,RefSeq-85,,Fuselloviridae,Betafusellovirus,413,,1.0,413.0,Alphafusellovirus,Fuselloviridae,Non affiliated
Acidianus~tailed~spindle~virus,22,22,95,RefSeq-85,,Bicaudaviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acidianus~two-tailed~virus,23,23,72,RefSeq-85,,Bicaudaviridae,Bicaudavirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~bacteriophage~AP22,24,24,89,RefSeq-85,Caudovirales,Myoviridae,Ap22virus,122,,1.0,122.0,Ap22virus,Myoviridae,Caudovirales
Acinetobacter~phage~AB3,25,25,29,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~AP205,26,26,4,RefSeq-85,,Leviviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~Abp1,27,27,54,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~Ac42,28,28,255,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~Acj61,29,29,241,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~Acj9,30,30,253,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~Bphi-B1251,31,31,62,RefSeq-85,Caudovirales,Podoviridae,,249,,1.0,249.0,Non affiliated,Podoviridae,Caudovirales
Acinetobacter~phage~Fri1,32,32,54,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~IME_AB3,33,33,57,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~LZ35,34,34,83,,,,,122,,1.0,122.0,Ap22virus,Myoviridae,Caudovirales
Acinetobacter~phage~Petty,35,35,45,RefSeq-85,Caudovirales,Podoviridae,,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~Presley,36,36,95,RefSeq-85,Caudovirales,Podoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~YMC-13-01-C62,37,37,84,RefSeq-85,Caudovirales,Myoviridae,Ap22virus,122,,1.0,122.0,Ap22virus,Myoviridae,Caudovirales
Acinetobacter~phage~YMC11/12/R2315,38,38,85,RefSeq-85,Caudovirales,Myoviridae,,122,,1.0,122.0,Ap22virus,Myoviridae,Caudovirales
Acinetobacter~phage~YMC13/03/R2096,39,39,162,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~ZZ1,40,40,256,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~phiAB1,41,41,46,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~phiAB6,42,42,45,,,,,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~phiAC-1,43,43,82,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acinetobacter~phage~vB_AbaM_Acibel004,44,44,156,RefSeq-85,Caudovirales,Myoviridae,,185,,1.0,185.0,Non affiliated,Myoviridae,Caudovirales
Acinetobacter~phage~vB_AbaM_IME200,45,45,52,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~vB_AbaM_phiAbaA1,46,46,165,,,,,185,,1.0,185.0,Non affiliated,Myoviridae,Caudovirales
Acinetobacter~phage~vB_AbaP_Acibel007,47,47,53,RefSeq-85,Caudovirales,Podoviridae,,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~vB_AbaP_PD-6A3,48,48,48,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~vB_AbaP_PD-AB9,49,49,48,RefSeq-85,Caudovirales,Podoviridae,Fri1virus,87,,1.0,87.0,Fri1virus,Podoviridae,Caudovirales
Acinetobacter~phage~vB_AbaS_TRS1,50,50,70,,,,,249,,1.0,249.0,Non affiliated,Podoviridae,Caudovirales
Acinetobacter~virus~133,51,51,257,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Actinomyces~virus~Av1,52,52,22,RefSeq-85,Caudovirales,Podoviridae,,364,,1.0,364.0,Cp1virus,Podoviridae,Caudovirales
Actinoplanes~phage~phiAsp2,53,53,76,RefSeq-85,Caudovirales,Siphoviridae,,179,,1.0,179.0,Non affiliated,Siphoviridae,Caudovirales
Aeromonas~phage~Aes012,54,54,243,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~phage~Aes508,55,55,234,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~phage~CC2,56,56,427,RefSeq-85,Caudovirales,Myoviridae,,4,,1.0,4.0,Schizot4virus,Myoviridae,Caudovirales
Aeromonas~phage~PX29,57,57,330,RefSeq-85,Caudovirales,Myoviridae,,4,,1.0,4.0,Schizot4virus,Myoviridae,Caudovirales
Aeromonas~phage~pAh6-C,58,58,86,RefSeq-85,Caudovirales,Myoviridae,,572,,1.0,572.0,Non affiliated,Myoviridae,Caudovirales
Aeromonas~phage~phiAS4,59,59,271,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~phage~phiAS5,60,60,343,RefSeq-85,Caudovirales,Myoviridae,,4,,1.0,4.0,Schizot4virus,Myoviridae,Caudovirales
Aeromonas~phage~phiAS7,61,61,51,RefSeq-85,Caudovirales,Podoviridae,,110,,1.0,110.0,Non affiliated,Podoviridae,Caudovirales
Aeromonas~phage~vB_AsaM-56,62,62,83,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Aeromonas~virus~25,63,63,242,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~virus~31,64,64,247,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~virus~44RR2,65,65,252,RefSeq-85,Caudovirales,Myoviridae,Biquartavirus,5,,1.0,5.0,Secunda5virus,Myoviridae,Caudovirales
Aeromonas~virus~65,66,66,437,RefSeq-85,Caudovirales,Myoviridae,,4,,1.0,4.0,Schizot4virus,Myoviridae,Caudovirales
Aeromonas~virus~Aeh1,67,67,352,RefSeq-85,Caudovirales,Myoviridae,,4,,1.0,4.0,Schizot4virus,Myoviridae,Caudovirales
Aeromonas~virus~phiO18P,68,68,45,RefSeq-85,Caudovirales,Myoviridae,Hp1virus,130,,1.0,130.0,Hp1virus,Myoviridae,Caudovirales
Aeropyrum~pernix~ovoid~virus~1,69,69,21,RefSeq-85,,Guttaviridae,Betaguttavirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Aeropyrum~pernix~spindle-shaped~virus~1,70,70,53,,,,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Aggregatibacter~phage~S1249,71,71,66,,,,,111,,1.0,111.0,Non affiliated,Myoviridae,Caudovirales
Agrobacterium~phage~7-7-1,72,72,127,RefSeq-85,Caudovirales,Myoviridae,,131,,1.0,131.0,Nonanavirus,Myoviridae,Caudovirales
Alteromonas~phage~vB_AmaP_AD45-P1,73,73,120,RefSeq-85,Caudovirales,Podoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Anabaena~phage~A-4L,74,74,38,RefSeq-85,Caudovirales,Podoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Archaeal~BJ1~virus,75,75,70,RefSeq-85,Caudovirales,Siphoviridae,,670,,1.0,670.0,Non affiliated,Siphoviridae,Caudovirales
Arthrobacter~phage~BarretLemon,76,76,79,RefSeq-85,Caudovirales,Myoviridae,Chippewavirus,735,,1.0,735.0,Arvunavirus,Myoviridae,Caudovirales
Arthrobacter~phage~Decurro,77,77,26,RefSeq-85,Caudovirales,Siphoviridae,Decurrovirus,366,,1.0,366.0,Decurrovirus,Siphoviridae,Caudovirales
Arthrobacter~phage~KellEzio,78,78,98,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus,736,,1.0,736.0,Kelleziovirus,Siphoviridae,Caudovirales
Arthrobacter~phage~Kitkat,79,79,100,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus,736,,1.0,736.0,Kelleziovirus,Siphoviridae,Caudovirales
Arthrobacter~phage~Mudcat,80,80,95,RefSeq-85,Caudovirales,Siphoviridae,Mudcatvirus,295,,1.0,295.0,Pepy6virus,Siphoviridae,Caudovirales
Arthrobacter~phage~vB_ArS-ArV2,81,81,68,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Arthrobacter~phage~vB_ArtM-ArV1,82,82,101,RefSeq-85,Caudovirales,Myoviridae,Arvunavirus,735,,1.0,735.0,Arvunavirus,Myoviridae,Caudovirales
Aurantimonas~phage~AmM-1,83,83,67,RefSeq-85,Caudovirales,,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Azospirillum~phage~Cd,84,84,95,RefSeq-85,Caudovirales,Siphoviridae,,532,,1.0,532.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~0305phi8-36,85,85,246,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~AR9,86,86,291,,,,,737,,1.0,737.0,Non affiliated,Myoviridae,Caudovirales
Bacillus~phage~Aurora,87,87,40,,,,,415,,1.0,415.0,Non affiliated,Podoviridae,Caudovirales
Bacillus~phage~AvesoBmore,88,88,301,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~B4,89,89,277,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BCD7,90,90,140,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~BCJA1c,91,91,58,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~BCP78,92,92,227,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BCP8-2,93,93,220,RefSeq-85,Caudovirales,Myoviridae,Bc431virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BM5,94,94,224,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~BPS10C,95,95,271,RefSeq-85,Caudovirales,Myoviridae,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BPS13,96,96,268,RefSeq-85,Caudovirales,Myoviridae,Wphvirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BalMu-1,97,97,56,,,,,533,,1.0,533.0,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~Bam35c,98,98,32,RefSeq-85,,Tectiviridae,Betatectivirus,619,,1.0,619.0,Betatectivirus,Tectiviridae,Non affiliated
Bacillus~phage~Bastille,99,99,273,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Bcp1,100,100,229,RefSeq-85,Caudovirales,Myoviridae,Bc431virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Belinda,101,101,295,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BigBertha,102,102,291,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Bobb,103,103,247,RefSeq-85,Caudovirales,Myoviridae,Agatevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Bp8p-C,104,104,211,RefSeq-85,Caudovirales,Myoviridae,Agatevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~BtCS33,105,105,57,RefSeq-85,Caudovirales,Siphoviridae,,220,220;226,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~CAM003,106,106,287,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~CP-51,107,107,221,RefSeq-85,Caudovirales,Myoviridae,Cp51virus,25,,1.0,25.0,Cp51virus,Myoviridae,Caudovirales
Bacillus~phage~CampHawk,108,108,233,RefSeq-85,Caudovirales,Myoviridae,Spo1virus,25,,1.0,25.0,Cp51virus,Myoviridae,Caudovirales
Bacillus~phage~Claudi,109,109,46,,,,,415,,1.0,415.0,Non affiliated,Podoviridae,Caudovirales
Bacillus~phage~DIGNKC,110,110,291,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Deep~Blue,111,111,226,RefSeq-85,Caudovirales,Myoviridae,Bc431virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~DirtyBetty,112,112,302,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Eldridge,113,113,238,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Evoli,114,114,294,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Eyuki,115,115,300,RefSeq-85,Caudovirales,Myoviridae,Wphvirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Fah,116,116,50,RefSeq-85,Caudovirales,Siphoviridae,,226,,1.0,226.0,Wbetavirus,Siphoviridae,Caudovirales
Bacillus~phage~GIL16c,117,117,31,RefSeq-85,,Tectiviridae,Betatectivirus,619,,1.0,619.0,Betatectivirus,Tectiviridae,Non affiliated
Bacillus~phage~Gamma,118,118,53,RefSeq-85,Caudovirales,Siphoviridae,,226,,1.0,226.0,Wbetavirus,Siphoviridae,Caudovirales
Bacillus~phage~Grass,119,119,252,RefSeq-85,Caudovirales,Myoviridae,Nit1virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Hakuna,120,120,294,RefSeq-85,Caudovirales,Myoviridae,Wphvirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Hoody~T,121,121,270,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~JBP901,122,122,201,RefSeq-85,Caudovirales,Myoviridae,Bc431virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~JL,123,123,218,RefSeq-85,Caudovirales,Myoviridae,Cp51virus,25,,1.0,25.0,Cp51virus,Myoviridae,Caudovirales
Bacillus~phage~Kida,124,124,304,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~MG-B1,125,125,42,RefSeq-85,Caudovirales,Podoviridae,,415,,1.0,415.0,Non affiliated,Podoviridae,Caudovirales
Bacillus~phage~Mater,126,126,241,RefSeq-85,Caudovirales,Myoviridae,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Megatron,127,127,290,RefSeq-85,Caudovirales,Myoviridae,Wphvirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Moonbeam,128,128,237,RefSeq-85,Caudovirales,Myoviridae,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Nemo,129,129,301,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Nigalana,130,130,302,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~NotTheCreek,131,131,296,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~PBC1,132,132,50,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~PM1,133,133,86,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~Page,134,134,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~Palmer,135,135,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~Pascal,136,136,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~Pavlov,137,137,50,RefSeq-85,Caudovirales,Podoviridae,,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~PfEFR-5,138,138,68,,,,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~Phrodo,139,139,288,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Pony,140,140,48,RefSeq-85,Caudovirales,Podoviridae,Pagevirus,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~Pookie,141,141,52,RefSeq-85,Caudovirales,Podoviridae,Pagevirus,416,,1.0,416.0,Pagevirus,Podoviridae,Caudovirales
Bacillus~phage~Riley,142,142,290,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~SP-10,143,143,236,RefSeq-85,Caudovirales,Myoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~SP-15,144,144,317,,,,,473,,1.0,473.0,Non affiliated,Myoviridae,Caudovirales
Bacillus~phage~SPBc2,145,145,185,RefSeq-85,Caudovirales,Siphoviridae,Spbetavirus,124,,1.0,124.0,Spbetavirus,Siphoviridae,Caudovirales
Bacillus~phage~SPG24,146,146,34,RefSeq-85,Caudovirales,Myoviridae,Nit1virus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~SPP1,147,147,97,RefSeq-85,Caudovirales,Siphoviridae,,141,,1.0,141.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~SageFayge,148,148,300,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~SalinJah,149,149,292,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Shanette,150,150,220,RefSeq-85,Caudovirales,Myoviridae,Cp51virus,25,,1.0,25.0,Cp51virus,Myoviridae,Caudovirales
Bacillus~phage~Shbh1,151,151,177,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Slash,152,152,111,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus,573,,1.0,573.0,Slashvirus,Siphoviridae,Caudovirales
Bacillus~phage~Spock,153,153,283,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Stahl,154,154,110,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus,573,,1.0,573.0,Slashvirus,Siphoviridae,Caudovirales
Bacillus~phage~Staley,155,155,113,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus,573,,1.0,573.0,Slashvirus,Siphoviridae,Caudovirales
Bacillus~phage~Stills,156,156,110,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus,573,,1.0,573.0,Slashvirus,Siphoviridae,Caudovirales
Bacillus~phage~Stitch,157,157,36,,,,,415,,1.0,415.0,Non affiliated,Podoviridae,Caudovirales
Bacillus~phage~TP21-L,158,158,56,RefSeq-85,Caudovirales,Siphoviridae,Tp21virus,311,,1.0,311.0,Tp21virus,Siphoviridae,Caudovirales
Bacillus~phage~Troll,159,159,289,RefSeq-85,Caudovirales,Myoviridae,B4virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~TsarBomba,160,160,247,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~VMY22,161,161,25,RefSeq-85,Caudovirales,Podoviridae,,363,,1.0,363.0,Phi29virus,Podoviridae,Caudovirales
Bacillus~phage~W.Ph.,162,162,274,RefSeq-85,Caudovirales,Myoviridae,Wphvirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~Waukesha92,163,163,72,RefSeq-85,Caudovirales,Siphoviridae,,220,,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~Wip1,164,164,27,RefSeq-85,,Tectiviridae,Betatectivirus,619,,1.0,619.0,Betatectivirus,Tectiviridae,Non affiliated
Bacillus~phage~Zuko,165,165,294,,,,,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~phBC6A51,166,166,75,RefSeq-85,Caudovirales,Podoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~phBC6A52,167,167,49,RefSeq-85,Caudovirales,Podoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~phIS3501,168,168,51,RefSeq-85,Caudovirales,Siphoviridae,,220,220;226,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~phi105,169,169,51,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~phi4B1,170,170,56,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~phi4J1,171,171,67,RefSeq-85,Caudovirales,Siphoviridae,,220,,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~phiAGATE,172,172,210,RefSeq-85,Caudovirales,Myoviridae,Agatevirus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~phiCM3,173,173,56,RefSeq-85,Caudovirales,Siphoviridae,,220,220;226,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~phage~phiNIT1,174,174,219,RefSeq-85,Caudovirales,Myoviridae,Nit1virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~vB_BanS-Tsamsa,175,175,272,RefSeq-85,Caudovirales,Siphoviridae,,124,,1.0,124.0,Spbetavirus,Siphoviridae,Caudovirales
Bacillus~phage~vB_BceM_Bc431v3,176,176,238,RefSeq-85,Caudovirales,Myoviridae,Bc431virus,33,,1.0,33.0,B4virus,Myoviridae,Caudovirales
Bacillus~phage~vB_BhaS-171,177,177,67,,,,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Bacillus~phage~vB_BtS_BMBtp3,178,178,76,RefSeq-85,Caudovirales,Siphoviridae,,220,,1.0,220.0,Non affiliated,Siphoviridae,Caudovirales
Bacillus~virus~1,179,179,54,RefSeq-85,Caudovirales,Myoviridae,Svunavirus,243,,1.0,243.0,Svunavirus,Myoviridae,Caudovirales
